station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
Lafayette Av,4825,4857,4849,4888,4873.333333333333
Van Siclen Av,2974,3050,3202,3224,3168.0
155 St,2529,2586,2596,2733,2872.0
Clinton - Washington Avs,6642,6719,6603,6932,7043.333333333333
Kingston - Throop Avs,5678,5968,6210,6350,6499.666666666667
163 St - Amsterdam Av,4080,4271,4340,4513,3553.3333333333335
Liberty Av,2658,2639,2780,3020,2902.3333333333335
Bay 50 St,2793,2875,2872,3176,2925.3333333333335
Norwood - 205 St,8043,8466,8640,8897,8692.3333333333339
55 St,1964,1981,2002,2223,2171.3333333333335
50 St,3308,3289,3220,3336,3255.6666666666665
18 Av,6162,6326,6242,6413,6248.333333333333
9 Av,5857,6004,5856,5867,5560.666666666667
25 Av,4607,4761,4886,6507,5793.333333333333
Fort Hamilton Pkwy,3984,4248,4260,4420,4172.666666666667
20 Av,4859,4930,5115,5268,5060.666666666667
79 St,6293,6617,6755,6973,6571.666666666667
71 St,4538,4682,4802,6501,6004.333333333333
Bay Pkwy,7111,7322,7501,8069,7875.0
Avenue X,2972,2859,1928,2424,2531.3333333333335
East Broadway,13276,13720,14228,14654,14295.666666666666
57 St,15363,15506,15725,15768,12853.333333333334
Jamaica - 179 St,23280,23093,23417,23121,22331.333333333332
Avenue N,3411,3419,3410,3187,2497.0
Ditmas Av,4676,4622,3386,3524,3759.0
Sutphin Blvd,4932,4795,4851,4652,4479.666666666667
Neptune Av,1749,1698,1807,1742,1638.6666666666667
2 Av,17801,17183,17355,17059,16576.333333333332
Roosevelt Island,6321,5998,6197,6630,7045.666666666667
Avenue U,2296,2215,2439,2578,1632.0
Bay Pkwy,1575,1516,1491,1329,893.66666666666663
Kings Hwy,3655,3616,3726,4637,4796.666666666667
169 St,9042,9106,9138,9016,8598.6666666666661
Parsons Blvd,6463,6540,6640,6644,6566.333333333333
18 Av,4204,4050,4458,4440,4235.0
York St,8629,8973,9328,10246,10550.333333333334
Avenue P,2757,2767,2804,2688,2073.0
Avenue I,2283,2250,2235,1962,1389.6666666666667
21 St - Queensbridge,8761,8914,9447,9779,10276.0
Clinton - Washington Avs,5294,5178,5364,5312,5140.0
Flushing Av,2373,2627,2819,2857,2890.6666666666665
Fulton St,4266,4502,4954,5096,5307.333333333333
21 St,1309,1265,1564,1735,1785.0
Greenpoint Av,8461,7819,9191,9413,9523.3333333333339
Bedford - Nostrand Avs,7300,7778,8197,8487,8683.0
Nassau Av,8435,8765,9066,9150,9189.0
Classon Av,4490,4601,4966,4996,5134.333333333333
Myrtle - Willoughby Avs,4916,5330,5783,5889,5789.333333333333
Broadway,3368,3500,4011,4340,4419.666666666667
85 St - Forest Pkwy,3792,3860,3947,3968,3863.3333333333335
Halsey St,5805,6174,6410,6490,6561.666666666667
Cypress Hills,1431,1444,1456,1501,1486.3333333333333
111 St,2605,2596,2627,2607,2887.0
Kosciuszko St,4751,4761,4927,5118,5801.666666666667
Cleveland St,3328,3467,3514,3483,3242.6666666666665
E 105 St,3818,3911,4002,4070,3955.6666666666665
New Lots Av,4785,5005,5244,5431,5196.666666666667
Jefferson St,6612,7230,7565,7639,7706.666666666667
